title,website,tags,mission,membership_benefits
Action Against Hunger at the University of Illinois at Urbana-Champaign,https://one.illinois.edu/ActionAgainstHunger/,"Orange Student Organization
 
 - Community Service & Philanthropy","Action Against Hunger's mission is to eliminate hunger and malnutrition, especially among the more vulnerable populations worldwide, by addressing the causes of hunger and making sure communities have access to resources and support. Action Against Hunger is a worldwide nonprofit dedicated to saving lives and helping to end hunger with over 8,900 aid workers. Specifically at UIUC, we are a smaller chapter hoping to make a small difference on campus. Our mission is to volunteer at a variety of places to aid individuals in their fight against hunger, raise funds to support the international organization, and take part in small acts that can help others in many different ways.","Members of this organization are involved in many different volunteer activities where they learn a variety of skills and learn a lot from the experiences the organization presents its members. Some of the trainings can include knowledge on nutrition, health, water, sanitation, and hygiene. In addition to trainings, membership in this organization can provide experience in humanitarian work, which can benefit individuals in their own personal development or future opportunities that members want to be involved in. Next, members have the opportunity to network with other members in the organization as well as interact with people in less fortunate circumstances at soup kitchens, bake sales, fundraisers, and more. Finally, members are able to have a sense of community within the organization with so many members looking to give back to the community and participate in the organization to make a difference in others' lives."
Acts Campus Ministry at UIUC,https://one.illinois.edu/ActsCampusMinistry/,"Orange Student Organization
 
 - Faith, Religion & Spirituality",The vision of Acts Campus Ministry at UIUC is to equip God’s people to establish an authentic relationship with Him and experience the fullness of His Power and Love. We strive to be a church that reflects the heart and character of Christ.​,
Actually Neurodivergent,https://one.illinois.edu/ActuallyNeurodivergent/,"Orange Student Organization
 
 - Advocacy & Activism, Identity & Culture, Social & Leisure",Actually Neurodivergent was founded as and must remain an organization dedicated to advocacy by and for neurodivergent individuals. Actually Neurodivergent must always provide a safe space for neurodivergent individuals and maintain solidarity with all neurodivergent and/or otherwise disabled people on campus.,
Actuarial Science Club,https://one.illinois.edu/ActuarialScienceClub/,"Orange Student Organization
 
 - Business, Technology, Engineering & Mathematics","The Actuarial Science Club is a student-run organization which communicates with the Actuarial Science Department to provide our students with career, social, and networking opportunities. In the fall, we run about 15-20 company presentations with recruiters from insurance and consulting firms to help educate students about industry trends and help them find internships and full-time positions. Additionally, we run a large-scale career fair called Meet the Firms in late September each year. We also host workshops to help our members develop essential skills for their professional life. More events pop-up throughout the year including our field trips to companies and annual spring banquet.",
Adventure Club,https://one.illinois.edu/AdventureClub/,"Orange Student Organization
 
 - Social & Leisure","Heed the call and join the Adventure!
Adventure Club offers a one-of-a-kind social experience where lasting friendships are forged through the fun and flames. Each member is sorted into one of four teams competing in weekly “Adventures”; from scavenger hunts and trivia to creative challenges and outdoor games. Outside of Adventures, we host regular socials like local trivia nights, group outings, camping trips, and more!
If you're looking for connection, community, and just enough chaos to make college unforgettable, Adventure Club might be exactly what you're looking for.",
Aerial Illinois Robotics,https://one.illinois.edu/AerialIllinoisRobotics/,"Orange Student Organization
 
 - Business, Education, Pedagogy & Instruction, Information & Data Sciences, Technology, Engineering & Mathematics","Aerial Illinois Robotics serves as the/to premier organization for researching and implementing new drone technologies including (but not limited to): propellor design, transformative robotics, and autonomous capabilities in order to prepare students to enter the drone industry.",
African Cultural Association,https://one.illinois.edu/AfricanCulturalAssociation/,"Orange Student Organization
 
 - Identity & Culture","Our mission is to build a community on campus that appreciates African culture, through social activities that engage students in issues of Africa and the African Diaspora; to actively contributing to the advancement of Africa and the African Diaspora by engaging in community service and fundraising events, and to educate the UIUC community about current issues that affect Africa and to dispel myths and stereotypes about the land and its people (descendants).",
African Students Organization,https://one.illinois.edu/AfricanStudentsOrganization/,"Orange Student Organization
 
 - Advocacy & Activism, Education, Pedagogy & Instruction, Identity & Culture, International, Social & Leisure","The African Students Organization (herein referred to as ASO) mission is to create an enabling environment for African graduate students, support and prepare Africans who transition from the African continents to pursue a degree, especially graduate students, at the University of Illinois at Urbana-Champaign and to offer training and leadership services to such students that will serve the African continent and help relieve it from the socio-political and economic crises that ravaged its member states for over centuries ago. The organization through its social and campus activities; education programs, leadership seminars, conferences, community events, etc., will showcase truths about the African continent, correct false narratives about Africa and her cultural heritage to the University community, and build a strong cohesion among Africans on campus.","1) Voting Rights
2) Ability to travel with ASO
3) Free admission to ASO events"
Afrique Dance Ensemble,https://one.illinois.edu/AfriqueDanceEnsemble/,"Orange Student Organization
 
 - Health & Wellness, Identity & Culture, Performance Arts","Our mission at Afrique Dance Ensemble is to use dance as a vehicle for the dissemination of African culture while also developing a community of college students who are determined, accepting, and culturally aware. By fostering diversity, innovation, and individual growth within our dance community, we hope to honor the depth and range of African dance traditions.","Ability to immerse yourself in African culture
Joining the team in performances within the University and other events."
Agree to Disagree,https://one.illinois.edu/AgreetoDisagree/,"Orange Student Organization
 
 - Advocacy & Activism, Ideology & Politics, Law, Social & Behavioral Sciences, Humanities","Agree to Disagree serves as a forum for research-guided debate, open to all
students regardless of experience level.",
Agricultural & Consumer Economics - Graduate Student Organization,https://one.illinois.edu/agriculturalandconsumereconomicsgraduatestudentorg/,"Orange Student Organization
 
 - Agricultural",To support members in their graduate studies and professional development in the Department of Agriculture and Consumer Economics at the University of Illinois Urbana-Champaign,
AIESEC Illinois,https://one.illinois.edu/aiesecillinois/,"Orange Student Organization
 
 - Advocacy & Activism, Athletic & Recreation, Business, Community Service & Philanthropy, Education, Pedagogy & Instruction, Environmental & Sustainability, Identity & Culture, Ideology & Politics, Performance Arts","AIESEC in UIUC is a local chapter of AIESEC in the United States which is a part of AIESEC, a Global, non-partisan, independent, not-for-profi t organization run by students and recent graduates of institutions of higher education. Its members are interested in world issues, leadership and management. AIESEC does not discriminate on the basis of race, color, gender, sexual orientation, creed, religion, national, ethnic or social origin. AIESEC, through its affi liation with the United Nations works towards a better and more sustainable world.","Joining AIESEC offers students and young professionals a unique chance to grow personally and professionally. Members develop leadership, teamwork, and project management skills by taking on real responsibilities in areas such as marketing, events, and operations. AIESEC also provides opportunities to work in diverse, multicultural teams, fostering cultural intelligence and global awareness. Through its international exchange programs, members can experience new cultures, expand their networks, and contribute to impactful projects aligned with the UN Sustainable Development Goals. The organization’s supportive environment includes training, mentoring, and conferences that strengthen confidence and communication skills. In addition, AIESEC membership enhances employability by giving practical experiences that stand out on a résumé, while also connecting members with a vast global alumni network. Ultimately, AIESEC helps young people step outside their comfort zones, make a meaningful impact, and prepare themselves for leadership roles in an interconnected world."
Airsoft at Illinois,https://one.illinois.edu/Airsoft/,"Blue Student Organization
 
 - Athletic & Recreation","Airsoft at Illinois hosts casual airsoft events and activities for students of all skill levels, and provides an open and welcoming space to make the hobby of airsoft accessible to more people at the University of Illinois","Access to rental replicas, gear, and safety equipment, as well as all sorts of other resources for beginners!"
Albanian Student Association,https://one.illinois.edu/AlbanianStudentAssociation/,"Orange Student Organization
 
 - Identity & Culture","The Albanian Student Association is a club meant to appreciate Albanian culture through events and socials, to provide support to new, current, or transfer Albanian students, and to create a forum where Albanian issues can be discussed. This club welcomes all individuals to join, Albanian or non-Albanian, fostering a diverse and inclusive community where everyone can share in the richness of Albanian culture",
Algebraic Geometry and Topology Club,https://one.illinois.edu/AlgebraicGeometryandTopologyClub/,"Orange Student Organization
 
 - Technology, Engineering & Mathematics",the Algebraic Geometry and Topology Club serves to create space to unite students working in algebraic geometry and topology and to connect students with faculty members working in those areas. This RSO also provides opportunities for students to meet with invited researchers from other institutions.,
ALPFA Illinois,https://one.illinois.edu/ALPFAIllinois/,"Blue Student Organization
 
 - Business, Identity & Culture","The ALPFA Illinois Chapter’s mission is to create opportunities, add value, and build relationships for its members and its business partners while expanding Latino Leadership among students attending the University of Illinois at Urbana-Champaign.","Professional development, connection to corporate sponsors and alumni network, philanthropic engagement opportunities, and social community centered in Latino heritage and culture."
Alpha Chi Omega,https://one.illinois.edu/AlphaChiOmega/,"Blue Student Organization
 
 - Social & Leisure, Social Fraternities & Sororities","Alpha Chi Omega is a national women's organization that enriches the lives of both its collegiate and alumnae members through lifetime opportunities for friendship, leadership, learning, and service.","Recognition
Members are recognized in chapter communications and at graduation with honors regalia.
Networking
Members have access to networking opportunities and can form lasting connections with other sisters.
Career support
Members can receive help with resumes, informational interviews, and mentorship. They can also access a member directory, business directory, and job and internship postings.
Publications
Members can access Alpha Chi's publications online, including the undergraduate research journal Aletheia and the annual member community magazine Kalo.
Leadership opportunities
Members can practice leadership through involvement in local chapters, at the regional level, and at the national level.
Shared housing
Members who live in a facility where Alpha Chi Omegas have a presence are typically required to live on for at least one year. This shared living space can strengthen the bonds of sisterhood.
Career Conversations
Members can participate in the Career Conversations program, which matches mentees with alumna mentors who have experience in areas of interest."
Alpha Chi Sigma,https://one.illinois.edu/AlphaChiSigma/,"Orange Student Organization
 
 - Life & Physical Sciences, ~ Affiliation: Grainger College of Engineering","Alpha Chi Sigma is a professional chemistry fraternity aimed at promoting the science of chemistry to potential new members and the community. AXS strives to foster brotherhood between members through professional, fundraising and outreach, and social events. Membership is limited to currently enrolled University of Illinois Urbana-Champaign students.",
Alpha Delta Phi Fraternity,https://one.illinois.edu/AlphaDeltaPhi/,"Blue Student Organization
 
 - Social & Leisure, Social Fraternities & Sororities","Provide a positive and comprehensive positive personal growth experience that boosts members morally, socially, and intellectually.",
Alpha Delta Pi,https://one.illinois.edu/AlphaDeltaPi/,"Blue Student Organization
 
 - Community Service & Philanthropy, Social & Leisure","To provide women with a a meaningful lifelong member experience that empowers them to reach their full potential through leadership, educational, philanthropic, and social opportunities.",
Alpha Epsilon Delta Pre-Health Society,https://one.illinois.edu/AlphaEpsilonDelta/,"Orange Student Organization
 
 - Health & Wellness","The dual role of AED as a pre-health society and a service organization is reflected in its chapter activities. The mission of the Society is to encourage and recognize excellence in scholarship, to stimulate an appreciation of the health sciences, to promote communication between pre-health students and professionals, to provide a forum for students with common interests, and to use its resources to benefit health organizations and charities.",
Alpha Epsilon Phi Sorority,https://one.illinois.edu/AlphaEpsilonPhi/,"Blue Student Organization
 
 - Social & Leisure, Social Fraternities & Sororities",AEPhi's Mission Statement: The mission of Alpha Epsilon Phi Sorority is to inspire and support exemplary women dedicated to friendship and a lifelong commitment to Alpha Epsilon Phi while building on the vision of our Jewish founders.,"As a member of AEPhi, you will be able to meet many fellow students at UIUC and create life-long bonds with your sisters. You will be introduced to our network of alumni, and participate in sisterhood, social, academic, and more programming."
Alpha Epsilon Pi,https://one.illinois.edu/AlphaEpsilonPi/,"Blue Student Organization
 
 - Community Service & Philanthropy, Social & Leisure, Social Fraternities & Sororities","""The mission of Alpha Epsilon Pi is to provide education, resources and training to the future leaders of the world’s Jewish communities. This mission is demonstrated every day through acts of brotherhood, Tzedakah (charity), social awareness and support for Jewish communities and Israel.""
""Therefore, our basic purpose is to provide the opportunity for a Jewish man to be able to join a Jewish organization whose purpose is not specifically religious, but rather social and cultural in nature. Alpha Epsilon Pi is a Jewish fraternity and brotherhood in Alpha Epsilon Pi is open to all who are willing to espouse its values and mission.""","Community engagement, philanthropy engagement, platform for social interactions"
Alpha Gamma Delta,https://one.illinois.edu/AlphaGammaDelta/,"Blue Student Organization
 
 - Social & Leisure, Social Fraternities & Sororities","Alpha Gamma Delta is an international women's organization committed to providing opportunities for personal development, service to others and a space for members to forge their own paths—all through a lifelong spirit of sisterhood. Inspired by the vision and values defined by our Founders, Alpha Gamma Delta challenges members to lead lives of significance that positively impact their communities. Together, we continually work to: Inspire the Woman. Impact the World.",
Alpha Gamma Rho,https://one.illinois.edu/AlphaGammaRho/,"Blue Student Organization
 
 - Agricultural, Social Fraternities & Sororities","Alpha Gamma Rho is a social-professional fraternity To Make Better Men, providing each and every brother with superior lifelong personal development and professional success since 1904. As a social-professional fraternity, Alpha Gamma Rho members are a brotherhood bound by shared values and shared professions in agriculture, natural resources, and related fields.",
Alpha Investment Management Partners,https://www.aim-illinois.com,"Blue Student Organization
 
 - Business, Information & Data Sciences, Technology, Engineering & Mathematics",the AIM Partners serves as the/to asset investment management student organization in which the organization members use a stock simulation platform to learn about stock investing and portfolio management through studying stock valuation methods and analyzing financial statements.,
"Alpha Kappa Alpha Sorority, Incorporated. Gamma Chapter",https://one.illinois.edu/AlphaKappaAlpha/,"Orange Student Organization
 
 - Advocacy & Activism, Business, Community Service & Philanthropy, Health & Wellness, Social Fraternities & Sororities","The purpose of Alpha Kappa Alpha Sorority, Incorporated is to cultivate and encourage high scholastic and ethical standards, to promote unity and friendship among college women, to study and help alleviate problems concerning girls and women in order to improve their social stature, to maintain a progressive interest in college life, and to be of ""Service to All Mankind.""",
Alpha Kappa Delta Phi,https://one.illinois.edu/AlphaKappaDeltaPhi/,"Blue Student Organization
 
 - Advocacy & Activism, Community Service & Philanthropy, Identity & Culture, Social & Leisure, Social Fraternities & Sororities","The Upsilon Chapter of alpha Kappa Delta Phi, Inc. serves to promote
sisterhood, scholarship, leadership, service, and Asian-awareness in the community and campus.",
Alpha Kappa Psi Professional Business Fraternity,https://one.illinois.edu/AlphaKappaPsi/,"Orange Student Organization
 
 - Business","The objects of this chapter shall be to further the individual welfare of its members, to foster scientific research
in the fields of commerce, accounts and finance; to educate the public to appreciate and demand higher ideals therein; and
to promote and advance in institutions of college rank courses leading to degrees in business administration.",
Alpha Omega Campus Ministry,https://one.illinois.edu/AlphaOmega/,"Orange Student Organization
 
 - Faith, Religion & Spirituality","The purpose of this organization supports the educational mission of the University and the Division of Student Affairs and Enrollment Services: to provide distinctive opportunities for student learning; to develop innovative experiential programs that support student academic success, wellness, and personal growth; to foster an inclusive, diverse, safe, and accessible campus community; to cultivate individual, campus, civic, and global responsibility; and ensure opportunities for the development of leadership skills.","Being a part of the Alpha Omega Campus Ministry offers a welcoming and inclusive community that embraces all backgrounds. Members enjoy opportunities for spiritual growth through Bible studies and prayer groups, and supportive relationships within small groups and fellowship events. Additionally, there are numerous opportunities for local service projects, allowing members to put their faith into action. This flexible and dynamic environment fosters a deep personal relationship with Jesus Christ, encouraging a lifestyle of faith, love, and service."
Alpha Omega Epsilon Engineering Sorority,https://one.illinois.edu/AlphaOmegaEpsilon/,"Blue Student Organization
 
 - Social Fraternities & Sororities, Technology, Engineering & Mathematics, ~ Affiliation: Grainger College of Engineering","Alpha Omega Epsilon is a professional and social organization whose goals are to promote
women in engineering and technical sciences. The members of the Chapter will strive to
accomplish this purpose by coordinating, supporting, and initiating individual and group efforts
to encourage growth in the areas of leadership, sisterhood, professionalism, and self-actualization
in our members.",
Alpha Omicron Pi,https://one.illinois.edu/AlphaOmicronPi/,"Blue Student Organization
 
 - Social & Leisure, Social Fraternities & Sororities","The object of this Fraternity shall be to encourage a spirit of fraternity and love among its members; to stand at all times for character, dignity, scholarship, and college loyalty; to strive for and support the best interests of the colleges and universities in which Chapters are installed, and in no way to disregard, injure, or sacrifice those interests for the sake of prestige or advancement of the Fraternity or any of its Chapters.",
"Alpha Phi Alpha Fraternity, Incorporated",https://one.illinois.edu/AlphaPhiAlpha/,"Orange Student Organization
 
 - Social & Leisure, Social Fraternities & Sororities","The objectives of Tau Chapter of the ALPHA PHI ALPHA FRATERNITY, INC. shall be to involve its members as a Fraternal Organization in education, health, and welfare, to encourage the highest and noblest form of manhood and aid the community in its efforts to achieve higher social, economic, and intellectual status.",
"Alpha Phi Gamma National Sorority, Inc.",https://one.illinois.edu/AlphaPhiGamma/,"Orange Student Organization
 
 - Social & Leisure, Social Fraternities & Sororities","The purpose of this organization is to bring together all women of different nationalities through the bonds of friendship and Sisterhood. Alpha Phi Gamma exists to provide service and Asian Awareness to the university and the surrounding communities for the betterment of society. For its Members, this organization promotes scholarship, academic excellence, personal development, and leadership.",
Alpha Phi International Sorority,https://one.illinois.edu/AlphaPhi/,"Blue Student Organization
 
 - Community Service & Philanthropy, Social Fraternities & Sororities","Alpha Phi is a sisterhood of women who support each other through our core values of service, scholarship, leadership, loyalty, and character development.",Alpha Phi's high ideals of membership is that it offers a sisterhood with high expectations for character and a drive for innovation while also providing experiences and opportunities for its members. Alpha Phi is a place to grow and form lifelong friendships.
Alpha Phi Omega,https://one.illinois.edu/AlphaPhiOmega/,"Orange Student Organization
 
 - Advocacy & Activism, Community Service & Philanthropy, Environmental & Sustainability, Health & Wellness","In accordance with National Fraternity under which our chapter exists: ""We create inclusive communities for a more peaceful world in which to make a life by developing leaders, uniting members through friendship, and rendering service to all.""","Networking, connections to service in Champaign-Urbana, leadership positions and skill building for resumes, cultural and world knowledge"
"Alpha Pi Sigma Sorority, Incorporated. - Xi Chapter",https://one.illinois.edu/AlphaPiSigma/,"Orange Student Organization
 
 - Community Service & Philanthropy, Identity & Culture, Social & Leisure, Social Fraternities & Sororities","1. To encourage and promote academic excellence of our members through the establishment of study groups, tutoring services and mentoring.
2. To establish a scholarship fund to benefit members of the organization and/or transfer and high school students.
3. To inspire unity, friendship and sisterhood among its members.
4. To promote and develop the attainment of leadership skills for its members in order to serve the organization and the Latino community.
5. To further the professional careers of its members through networking with professionals in the community",
Alpha Psi Lambda,https://one.illinois.edu/AlphaPsiLambda/,"Orange Student Organization
 
 - Identity & Culture, Social & Leisure, Social Fraternities & Sororities","“To promote continued personal and collective growth of our membership, success, and unity through education, leadership, cultural awareness and community service.”","Our members gain a sense of community here at BETA chapter, we build alumni relations and lifelong connections and gain networking opportunities."
Alpha Rho Chi,https://one.illinois.edu/AlphaRhoChi/,"Orange Student Organization
 
 - Technology, Engineering & Mathematics","The objectives of the Anthemios Chapter of Alpha Rho Chi are: to organize and unite for fellowship, education and professional development purposes the students of Architecture and its Allied Arts at the University of Illinois Urbana Champaign to combine their efforts so as to promote the artistic, scientific, and practical proficiency of its membership and the profession.","Members have access to many events to grow both professionally and socially. Members can attend many events geared to professional skills that can be applied in their professional careers in architecture or the arts, in addition to helping to grow their network and also work with other art related members to grow academically."
"Alpha Sigma Omega Latina Sorority, Inc.",https://one.illinois.edu/alphasigmaomega/,"Orange Student Organization
 
 - Identity & Culture, Social Fraternities & Sororities","As sisters of Alpha Sigma Omega, we preserve to authenticate the emancipation, scholarship, unity, and endurance of all Latino and Caribbean people. Through solidarity we promote the tie that binds us all and those same ties that broke us free from slavery some time ago. In order to promote omnipotence our goal is not to replicate societal mannerisms. We achieve this through research knowledge of our culture, people, and conception. Knowing everything we should and must know as women, we promote, practice, and educate all others of the injustices that occurred long ago and continue today by forbidding them from happening in the future. The future is within our reach. There are no longer boundaries to prevent us from knowledge we must attain. Former laws, beliefs, and bondage have paved the way for the mission and purpose of Alpha Sigma Omega Latina Sorority, Inc.",
Alpha Tau Alpha/Ag Ed Club,https://one.illinois.edu/AlphaTauAlpha/,"Blue Student Organization
 
 - Agricultural, Education, Pedagogy & Instruction","1. To foster a professional attitude toward the teaching of agriculture.
2. To prepare the members for intelligent and capable service in the field of agricultural education.
3. To promote better relationships between students and faculty members.
4. To acquaint members with the problems and ways of improving the teaching profession, particularly in agricultural education.",
Alpha Tau Omega: Gamma Zeta,https://one.illinois.edu/AlphaTauOmega/,"Blue Student Organization
 
 - Social & Leisure, Social Fraternities & Sororities","The mission of Alpha Tau Omega is to develop leaders through community, social, and intellectual activities, and to unite men under a common set of values. These values include brotherhood, truth, unity, and love.",
Alpha Xi Delta,https://one.illinois.edu/AlphaXiDelta/,"Blue Student Organization
 
 - Community Service & Philanthropy, Social & Leisure, Social Fraternities & Sororities","The mission of Alpha Xi Delta Fraternity is to enrich the life of every Alpha Xi Delta. We will:
Nurture unity and cooperation.
Foster intellectual, professional and personal growth.
Exemplify the highest ethical conduct.
Instill community responsibility.
Perpetuate fraternal growth.",
Also Known As Improv (AKA Improv),https://linktr.ee/aka.improv,"Orange Student Organization
 
 - Performance Arts, Social & Leisure","Also Known as Improv serves as the campus’ only “no-audition” Improv team, providing mentoring, workshops, events, and performance opportunities for anyone who is interested. We also welcome those who are already on an Improv team and want to participate more, as well as those who did not make auditions and would still like to participate/learn to be able to audition for next year.","Anyone is welcome to attend AKA Improv meetings! If you attend, (and reflect on what you've learned before you leave), you'll earn a gold star. Collect 5 gold stars, and you'll officially become a full-blown member of AKA Improv. Full members get a spotlight Instagram post (if you want one), first chance at any AKA Improv swag, and are added to the official One Illinois page."
Altgeld Ringers,https://one.illinois.edu/AltgeldRingers/,"Orange Student Organization
 
 - Education, Pedagogy & Instruction, Performance Arts","In previous years, our goal was to enrich the UIUC campus and the surrounding community by continuing the long-standing tradition of chimes playing at this University (since 1920). While we want to preserve and recognize our history, we also wish to continually think forward in how we can engage with the rest of campus and its diverse group of students through our musical choices. With the chimes out of commission, our goal is to continue engaging with the university community, other RSOs, and even other universities to preserve the strong tradition of bell ringing ingrained in the university's culture. Furthermore, we plan to engage with archival work that can preserve the historical aspects of the chimes for future performers and listeners. The bells may return in the next academic year, and, if so, we will reopen the tower and begin sharing music with campus again!",
Alzheimer's Disease and Dementia Alliance,https://one.illinois.edu/AlzheimersDiseaseandDementiaAlliance/,"Orange Student Organization
 
 - Advocacy & Activism, Community Service & Philanthropy, Education, Pedagogy & Instruction, Health & Wellness, Social & Behavioral Sciences","The ADDA serves to host fundraising events for Alzheimer's and dementia related organizations, raise awareness on proper care and treatment for affected individuals, and discuss current research and medical practices in the field of Alzheimer's and dementia. As part of our mission, we aim to educate students on preventive measures to mitigate the risk of dementia, alongside providing support to individuals whose lives have been touched by this condition. By doing so, we will provide an outlet for those who are passionate about the disorder and allow an educational and philanthropic environment for those to be more involved in the Alzheimer's and dementia community at UIUC.","1. Admission to all ADDA leadership opportunities
2. Meaningful connections with the dementia community
3. Guidance from professionals and upperclassmen regarding preventatives of the cause and ways to be involved to a higher degree, like research
4. Network of supportive peers who share similar experiences and passion for the cause"
Amateur Artists of Illustration,https://one.illinois.edu/AmateurArtistsofIllustration/,"Blue Student Organization
 
 - Media Arts, Social & Leisure","The purpose of this group is to provide a platform for students interested in drawing to know each other and communicate their works. We aim at creating illustrations with thoughts, and we expect to link our ideas to the real world by drawing and bring people inspirations.",
American Advertising Federation at the University of Illinois,https://www.aafillinois.com,"Orange Student Organization
 
 - Business, Honorary, Information & Data Sciences, Media Arts, Social & Leisure, Technology, Engineering & Mathematics","AAF Illinois is dedicated to advancing the advertising and marketing industry by empowering student members, fostering collaboration, and providing hands-on industry experience. The purposes of this AAF college chapter shall be (l) to provide and promote a better understanding of the functions of advertising and its values; (2) to stimulate and encourage advertising professionalism through real industry applications; (3) to apply the skills, creativity and energy of advertising through applied education; (4) to develop the individual abilities of its members; and (5) to promote fellowship and free exchange of ideas in a collaborative environment.","Our AAF chapter has 12 distinct agencies, each with a different purpose and unique capabilities. Whether you’re interested in Technology, Consulting, Data, Programming, Account Director, Strategist, Researcher, Creative, or Media Planner, we have a place for you at AAF Illinois. Joining AAF Illinois means that you join our vast AAFamily! We help you grow, in many different venues. No matter what major you are, AAF Illinois has a place for you. Come join our +400 members, and shape your future!"
