major_minor,course_id,course_code,course_name,description,credits_min,credits_max,prerequisites,corequisites,postrequisites,schedule_link,notes
Aerospace Engineering,5189,AE 202,Aerospace Flight Mechanics,"Fundamental principles of aerospace flight mechanics applied to spacecraft and aircraft. Orbital mechanics, rocket propulsion, and dynamics and control applied to spacecraft design. Aerodynamics, maneuvering, stability and flight performance applied to aircraft design. Course Information: Prerequisite: Credit or concurrent registration in TAM 212.",3,3,TAM212,TAM212, AE311 AE312 AE483,https://courses.illinois.edu/schedule/terms/AE/202,
Aerospace Engineering,5190,TAM 212,Introductory Dynamics,Kinematics and dynamics of the three-dimensional motion of particles; kinematics and dynamics of the plane motion of rigid bodies; methods of work energy and impulse momentum; moving reference frames. Course Information: Prerequisite: TAM 210 or TAM 211.,3,3,TAM210 TAM211,, AE202 AE352 AE353,https://courses.illinois.edu/schedule/terms/TAM/212,
Aerospace Engineering,5191,AE 311,Incompressible Flow,"Equations of motion for incompressible flow, both inviscid and viscous; potential flow theory, inviscid airfoil theory: two- and three-dimensional, Navier-Stokes equations, laminar boundary layer and transition to turbulence. Course Information: Prerequisite: Credit or concurrent registration in AE 202 and MATH 241.",3,3,AE202 MATH241,AE202 MATH241, AE370 AE442 AE460,https://courses.illinois.edu/schedule/terms/AE/311,
Aerospace Engineering,5192,AE 321,Mechs of Aerospace Structures,"Fundamental concepts in the linear theory of elasticity, including stress, strain, equilibrium, compatibility, material constitution and properties. Failure mechanisms and criteria. Application to plane stress-strain problems, beams in extension and bending, and shafts in torsion. Course Information: Prerequisite: MATH 285 and one of TAM 210 or TAM 211.",3,3,MATH285 TAM210,, AE323 AE370 AE461,https://courses.illinois.edu/schedule/terms/AE/321,
Aerospace Engineering,5193,AE 352,Aerospace Dynamical Systems,"Particle kinematics and dynamics; Lagrange's equations; vibration of multiple degree-of-freedom systems; rotational kinematics and dynamics of rigid bodies. Course Information: Credit is not given for both AE 352 and TAM 412. Prerequisite: MATH 225, MATH 285, and TAM 212.",3,3,MATH225 MATH285 TAM212 MATH257 MATH415 MATH284 MATH286 MATH441,, AE442 AE483 AE461,https://courses.illinois.edu/schedule/terms/AE/352,
Aerospace Engineering,5194,ECE 205,Electrical & Electronic Ckts,"ECE 205 is an introductory course on circuit analysis and electronics for non-majors in engineering. The course includes bi-weekly electronics lab experiments designed to provide students with hands-on experience. Basic principles of circuit analysis and DC circuits; time-domain analysis of 1st and 2nd order linear circuits; complex numbers, phasors, AC steady-state analysis; frequency response; op-amp, diode, and BJT circuits; logic gates and digital logic circuits. Credit is not given to Computer or Electrical Engineering majors. Course Information: Credit is not given to Computer or Electrical Engineering majors. Prerequisite: PHYS 212. Class Schedule Information: Students must register for one lecture and one lab.",3,3,PHYS212,,,https://courses.illinois.edu/schedule/terms/ECE/205,
Aerospace Engineering,5196,AE 312,Compressible Flow,"Dynamics of compressible fluid; conservation of mass, momentum, and energy; one-dimensional and quasi-one-dimensional flow; oblique shock waves & Parandtl-Meyer expansion fans; unsteady wave motion; linearized theory. Application to nozzles, diffusers, airfoils, shock tubes and other geometries. Course Information: Prerequisite: AE 202 and MATH 285. Credit or concurrent registration in ME 200.",3,3,AE202 MATH285 ME200,ME200, AE370 AE433,https://courses.illinois.edu/schedule/terms/AE/312,
Aerospace Engineering,5197,AE 323,Applied Aerospace Structures,"Fundamental concepts of stress, strain, equilibrium, compatibility, material constitution and properties. Analysis of beams and shafts of monocoque and semi-monocoque construction. Energy methods. Course Information: Prerequisite: AE 321, MATH 241, MATH 285, and one of TAM 210 or TAM 211.",3,3,AE321 MATH241 MATH285 TAM210,, AE370 AE442 AE461,https://courses.illinois.edu/schedule/terms/AE/323,
Aerospace Engineering,5198,AE 353,Aerospace Control Systems,"Modeling of linear dynamic systems; Laplace transform techniques; linear feedback control systems; stability criteria; design techniques. Course Information: Credit is not given for both AE 353 and either GE 320 or ME 340. Prerequisite: MATH 225, MATH 285, and TAM 212.",3,3,MATH225 MATH285 TAM212,, AE483 AE461,https://courses.illinois.edu/schedule/terms/AE/353,
Aerospace Engineering,5199,AE 370,Aerospace Numerical Methods,"Numerical methods used in aerospace engineering. Numerical integration, curve fitting, root finding, numerical solution of ODE, solution of linear systems of equations. Finite difference. Rayleigh-Ritz, and Finite element methods. Applications to simple structural mechanics and aerodynamics problems encountered in aerospace engineering. Course Information: Prerequisite: Credit or concurrent registration in AE 311 or AE 312; credit or concurrent registration in AE 321 or AE 323.",3,3,AE311 AE312 AE323 AE321,AE311 AE312 AE323 AE321, AE483,https://courses.illinois.edu/schedule/terms/AE/370,
Aerospace Engineering,5201,AE 442,Aerospace Systems Design I,"Principles of systems engineering as they apply to the design process for aerospace flight systems; general design methodology; application of these concepts to the initial sizing of both aircraft and spacecraft systems. Intensive technical writing. Course Information: 3 undergraduate hours. No graduate credit. AE 442 and AE 443 taken in sequence fulfill the Advanced Composition Requirement. Prerequisite: Credit or concurrent registration in AE 311, AE 323, and AE 352.",3,3,AE311 AE323 AE352,AE311 AE323 AE352, AE443,https://courses.illinois.edu/schedule/terms/AE/442,
Aerospace Engineering,5202,AE 460,Aerodynamics & Propulsion Lab,"Theory and application of experimental techniques in aerospace engineering with emphasis on fluid dynamic, aerodynamic, thermal, combustion, and propulsion phenomena. Course Information: 2 undergraduate hours. No graduate credit. Prerequisite: AE 311; credit or concurrent registration in AE 433. Class Schedule Information: Students must register for lab and lecture-discussion sections.",2,2,AE311 AE433,AE433,,https://courses.illinois.edu/schedule/terms/AE/460,
Aerospace Engineering,5203,AE 483,Autonomous Systems Lab,"Theory and application of experimental techniques in aerospace engineering with emphasis on autonomous systems. Course Information: 2 undergraduate hours. No graduate credit. Prerequisite: AE 202, AE 352, AE 353, AE 370, and PHYS 212.",2,2,AE202 AE352 AE353 AE370 PHYS212,,,https://courses.illinois.edu/schedule/terms/AE/483,
Aerospace Engineering,5204,AE 433,Aerospace Propulsion,"Fundamentals of rocket and airbreathing jet propulsion devices electric propulsion; prediction of thrust, combustion reactions, specific fuel consumption, and operating performance; ramjets; turbojets; turbofans; turboprops; aerothermodynamics of inlets, combustors, and nozzles; compressors, turbines; component matching, fundamentals of electrothermal, electromagnetic elastostatis thrusters, and solar sails. Course Information: 3 undergraduate hours. 4 graduate hours. Prerequisite: AE 312 and PHYS 212.",4,4,AE312 PHYS212,, AE460,https://courses.illinois.edu/schedule/terms/AE/433,
Aerospace Engineering,5207,AE 443,Aerospace Systems Design II,"Continuation of AE 442. Conceptual design project of either an aircraft or spacecraft flight system to satisfy a given set of requirements. Project team organization. Emphasis on sizing, trade studies and design optimization, subsystem integration, and technical communication skills. Course Information: 3 undergraduate hours. No graduate credit. To fulfill the Advanced Composition Requirement, credit must be earned for both AE 442 and AE 443. Prerequisite: AE 442. Class Schedule Information: AE 442 and AE 443 are approved for General Education credit only as a sequence. Both courses must be completed to receive Advanced Composition credit.",3,3,AE442,,,https://courses.illinois.edu/schedule/terms/AE/443,
Aerospace Engineering,5208,AE 461,Structures & Control Lab,"Theory and application of experimental techniques in aerospace engineering with emphasis on structural mechanics, vibrations, dynamics, and control systems. Course Information: 2 undergraduate hours. No graduate credit. Prerequisite: AE 321 and AE 352. Credit or concurrent registration in AE 323 and AE 353.",2,2,AE321 AE352 AE323 AE353,AE323 AE353,,https://courses.illinois.edu/schedule/terms/AE/461,
Bioengineering,5384,BIOE 100,Bioengineering Seminar,"Bioengineering Seminar provides a broad introduction to the field, practice, and curriculum of Bioengineering. The major goals are for students to (1) meet the department faculty, (2) understand the curriculum and the 4-year goals, (3) understand and apply technologies central to the field through individual and group projects, (4) begin independent explorations into technologies in the field, and (5) practice teamwork, technical writing, and presentation. The course is designed for first-year Bioengineering majors.",1,1,,,,https://courses.illinois.edu/schedule/terms/BIOE/100,
Bioengineering,5173,CHEM 102,General Chemistry I,"For students who have some prior knowledge of chemistry. Principles governing atomic structure, bonding, states of matter, stoichiometry, and chemical equilibrium. Course Information: Credit is not given for both CHEM 102 and CHEM 202. CHEM 102 and CHEM 103 are approved for General Education credit only as a sequence. Both courses must be completed to receive Natural Science and Technology credit. Prerequisite: Credit in or exemption from MATH 112; one year of high school chemistry or equivalent. All students enrolled in CHEM 102 should also enroll in CHEM 103. Class Schedule Information: Students must register for a combination of one lecture and one quiz section beginning with the same letter.",3,3,,CHEM103, CHEM103 CHEM104 CHEM105,https://courses.illinois.edu/schedule/terms/CHEM/102,
Bioengineering,5174,CHEM 103,General Chemistry Lab I,Laboratory studies to accompany CHEM 102. Course Information: Additional fees may apply. See Class Schedule. Credit is not given for both CHEM 103 and CHEM 203. CHEM 102 and CHEM 103 are approved for General Education credit only as a sequence. Both courses must be completed to receive Natural Science and Technology credit. Prerequisite: Credit or concurrent registration in CHEM 102 is required. Class Schedule Information: CHEM 103 is the laboratory course that accompanies CHEM 102. Engineering students must obtain a dean's approval to drop this course after the second week of instruction.,1,1,,CHEM102, CHEM102 CHEM105,https://courses.illinois.edu/schedule/terms/CHEM/103,
Bioengineering,5172,MATH 221,Calculus I,"First course in calculus and analytic geometry for students with some calculus background; basic techniques of differentiation and integration with applications including curve sketching; antidifferentation, the Riemann integral, fundamental theorem, exponential and trigonometric functions. Course Information: Credit is not given for both MATH 221 and either MATH 220 or MATH 234. Prerequisite: An adequate ALEKS placement score as described at http://math.illinois.edu/ALEKS/ and either one year of high school calculus or a minimum score of 2 on the AB Calculus AP exam. Class Schedule Information: Students must register for one discussion and one lecture section beginning with the same letter. Engineering students must obtain a dean's approval to drop this course after the second week of instruction.",4,4,,, MATH231 CS101,https://courses.illinois.edu/schedule/terms/MATH/221,MATH 220may be substituted.MATH 220is appropriate for students with no background in calculus. 4 of 5 credit hours count towards degree.
Bioengineering,5178,ENG 100,Engineering Orientation,"Introduces students to the Grainger College of Engineering and their respective departments. Students will explore the academic environment at Illinois, developing skills that will aid in learning both inside and outside the classroom, build their leadership and collaborative skills, and build community inside and outside the classroom. Through class discussion and assignments, students will explore campus resources, examine and set goals for academic, personal, and professional development, and develop skills to work in diverse teams through a class project. Class Schedule Information: First-year students should enroll in the section corresponding to their major.",1,1,,,,https://courses.illinois.edu/schedule/terms/ENG/100,External transfer students takeENG 300.
Bioengineering,5175,RHET 105,Writing and Research,"Introduction in research-based writing and the construction of academic, argumentative essays that use primary and secondary sources as evidence. This course fulfills the Campus Composition I general education requirement. Course Information: Credit is not given for both RHET 105 and any of these other Comp I courses: RHET 101, RHET 102, CMN 111 or CMN 112. Class Schedule Information: Students whose second language is English should take an English placement test through the Division of English as an International Language, before signing up for rhetoric. Engineering students must obtain a dean's approval to drop this course after the second week of instruction.",4,4,,,,https://courses.illinois.edu/schedule/terms/RHET/105,
Bioengineering,5385,BIOE 120,Introduction to Bioengineering,"Lectures and discussions of recent trends in bioengineering; topics typically include biological interaction with ultrasound and microwave radiation, modeling, instrumentation, biomaterials, biomechanics, biological heat and mass transfer, and medical imaging techniques.",1,1,,,,https://courses.illinois.edu/schedule/terms/BIOE/120,
Bioengineering,5210,CHEM 104,General Chemistry II,"Lecture and discussions. Chemistry of materials, including organic and biological substances, chemical energetics and equilibrium, chemical kinetics, and electrochemistry. Course Information: Credit is not given for both CHEM 104 and CHEM 204. Prerequisite: CHEM 102 or CHEM 202 or advanced placement credit for one semester of college-level chemistry.           Class Schedule Information: All students enrolled in CHEM 104 should also enroll in CHEM 105. Students must register for a combination of one lecture and one quiz section beginning with the same letter.  Engineering students must obtain a dean's approval to drop this course after the second week of instruction. CHEM 104 and CHEM 105 are approved for General Education credit only as a sequence. Both courses must be completed to receive Natural Science and Technology credit.",3,3,CHEM102 CHEM202,, CHEM105 BIOE201 CHEM232,https://courses.illinois.edu/schedule/terms/CHEM/104,
Bioengineering,5211,CHEM 105,General Chemistry Lab II,Laboratory studies to accompany CHEM 104. Course Information: Additional fees may apply. See Class Schedule. Credit is not given for both CHEM 105 and CHEM 205. Prerequisite: CHEM 102 and CHEM 103; credit or concurrent registration in CHEM 104 is required. Class Schedule Information: CHEM 105 is the laboratory course that accompanies CHEM 104. Engineering students must obtain a dean's approval to drop this course after the second week of instruction. CHEM 104 and CHEM 105 are approved for General Education credit only as a sequence. Both courses must be completed to receive Natural Science and Technology credit.,1,1,CHEM102 CHEM103 CHEM104,CHEM104, CHEM232,https://courses.illinois.edu/schedule/terms/CHEM/105,
Bioengineering,5179,MATH 231,Calculus II,"Second course in calculus and analytic geometry: techniques of integration, conic sections, polar coordinates, and infinite series. Course Information: Prerequisite: MATH 220 or MATH 221. Class Schedule Information: Students must register for one discussion and one lecture section beginning with the same letter in Fall and Spring terms only. Engineering students must obtain a dean's approval to drop this course after the second week of instruction.",3,3,MATH220 MATH221,, PHYS211 MATH241 BIOE210,https://courses.illinois.edu/schedule/terms/MATH/231,
Bioengineering,5180,PHYS 211,University Physics: Mechanics,"Newton's Laws, work and energy, static properties and fluids, oscillations, transverse waves, systems of particles, and rotations. A calculus-based approach for majors in engineering, mathematics, physics and chemistry. Course Information: Credit is not given for both PHYS 211 and PHYS 101. Prerequisite: Credit or concurrent registration in MATH 231. Class Schedule Information: For students in engineering, mathematics, physics and chemistry. Exams are given in the evening (during fall and spring semesters). Register for a lecture (A) section, a discussion (D) section and a laboratory (L) section. Engineering students must obtain a dean's approval to drop this course after the second week of instruction.",4,4,MATH231,MATH231, BIOE201 PHYS212,https://courses.illinois.edu/schedule/terms/PHYS/211,
Bioengineering,5283,MCB 150,Molec & Cellular Basis of Life,"Introductory course focusing on the basic structure, metabolic, and molecular processes (including membranes, energy metabolism, genes) common to all cells. Emphasis on unique properties that differentiate the major sub-groups of organisms (Archaea, Bacteria, plants, and animals), and will discuss how cells are integrated into tissues and organs in multicellular organisms. Class Schedule Information: Priority registration given to students in Biological Sciences Program and Biochemistry. For further information: www.life.illinois.edu/mcb/150. Students must register for one discussion and one lecture section.",4,4,,, BIOE201 BIOE206 BIOE202 BIOE476,https://courses.illinois.edu/schedule/terms/MCB/150,
Bioengineering,5387,BIOE 201,Conservation Principles Bioeng,"Material, energy, charge, and momentum balances in biological problems. Steady-state and transient conservation equations for mass, energy, charge, and momentum will be derived and applied to mathematically analyze physiological systems using basic mathematical principles, physical laws, stoichiometry, and thermodynamic properties. Course Information: Prerequisite: CHEM 104, MCB 150, and PHYS 211.",3,3,CHEM104 MCB150 PHYS211 CHEM104 MCB150,, BIOE360,https://courses.illinois.edu/schedule/terms/BIOE/201,
Bioengineering,5388,BIOE 206,Cellular Bioengineering,"Molecular and cellular biology focusing on instrumentation and measurement techniques: gene expression, translation, and regulation; cellular energetics and enzyme kinetics; membrane transport and cell signaling; cytoskeleton and the cell cycle; cell biology fundamentals emphasizing modern imaging and measurement systems to quantify cellular function. Course Information: Credit is not given for both BIOE 206 and MCB 252. Prerequisite: MCB 150.",3,3,MCB150,, BIOE202 BIOE302 BIOE476,https://courses.illinois.edu/schedule/terms/BIOE/206,
Bioengineering,5213,CS 101,Intro Computing: Engrg & Sci,"Fundamental principles, concepts, and methods of computing, with emphasis on applications in the physical sciences and engineering. Basic problem solving and programming techniques; fundamental algorithms and data structures; use of computers in solving engineering and scientific problems. Intended for engineering and science majors. Course Information: Prerequisite: One of MATH 220 or MATH 221 or MATH 231 or MATH 241. Class Schedule Information: Students must register for one lab-discussion and one lecture section. Engineering students must obtain a dean's approval to drop this course after the second week of instruction.",3,3,MATH220 MATH221,, BIOE205 BIOE210,https://courses.illinois.edu/schedule/terms/CS/101,Students choose whether to takeCS 101orCS 124in third semester.
Bioengineering,5182,MATH 241,Calculus III,"Third course in calculus and analytic geometry including vector analysis: Euclidean space, partial differentiation, multiple integrals, line integrals and surface integrals, the integral theorems of vector calculus. Course Information: Credit is not given for both MATH 241 and MATH 292. Prerequisite: MATH 231. Class Schedule Information: Students must register for one discussion and one lecture section beginning with the same letter in Fall and Spring terms only. Engineering students must obtain a dean's approval to drop this course after the second week of instruction.",4,4,MATH231,, PHYS212 MATH285,https://courses.illinois.edu/schedule/terms/MATH/241,
Bioengineering,5183,PHYS 212,University Physics: Elec & Mag,"Coulomb's Law, electric fields, Gauss' Law, electric potential, capacitance, circuits, magnetic forces and fields, Ampere's law, induction, electromagnetic waves, polarization, and geometrical optics. A calculus-based approach for majors in engineering, mathematics, physics, and chemistry. Course Information: Credit is not given for both PHYS 212 and PHYS 102. Prerequisite: PHYS 211; credit or concurrent registration in MATH 241. Class Schedule Information: For students in engineering, mathematics, physics and chemistry. Exams are given in the evening (during fall and spring semesters). Register for a lecture (A) section, a discussion (D) section and a laboratory (L) section. Engineering students must obtain a dean's approval to drop this course after the second week of instruction.",4,4,PHYS211 MATH241,MATH241, BIOE205,https://courses.illinois.edu/schedule/terms/PHYS/212,
Bioengineering,5389,BIOE 202,Cell & Tissue Engineering Lab,"Principles of cell biology inherent in tissue engineering design. Lab experience in safely and skillfully manipulating cells of the four tissue types and performing various quantitative analyses on products produced by cells that have differentiated. Course Information: Prerequisite: MCB 150, and credit or concurrent enrollment in BIOE 206.",2,2,MCB150 BIOE206,BIOE206,,https://courses.illinois.edu/schedule/terms/BIOE/202,
Bioengineering,5390,BIOE 205,Signals & Systems in Bioengrg,"Introduction to signals and linear systems with examples from biology and medicine. Linear systems and mathematical models of systems, including differential equations, convolution, Laplace transforms, Fourier series and transforms, and discrete representations. Class examples and coursework apply general techniques to problems in biological signal analysis, including circuits, enzyme kinematics, and physiological system analysis. Use of Matlab and Simulink software to understand more complex systems. Course Information: Prerequisite: CS 101 or CS 124, PHYS 212, and credit or concurrent registration in MATH 285.",3,3,PHYS212 CS101 MATH285 CS124,MATH285, MATH285 BIOE302 BIOE414,https://courses.illinois.edu/schedule/terms/BIOE/205,
Bioengineering,5463,BIOE 210,Linear Alg for Biomed Data Sci,"Using analytical and computational tools from linear algebra, students will Solve large systems of linear equations, systems of linear ODEs, and linear PDEs; Analyze large, multivariable datasets to quantify relationships between variables; Decompose complex datasets into simpler representations; Introduce and solve common problems in classification, image processing, and machine learning; Develop a geometric understanding of high-dimensional spaces. Course Information: Prerequisite: CS 101 and MATH 231. For Bioengineering majors only.",3,3,CS101 MATH231 CS124,, BIOE310,https://courses.illinois.edu/schedule/terms/BIOE/210,
Bioengineering,5186,MATH 285,Intro Differential Equations,"Techniques and applications of ordinary differential equations, including Fourier series and boundary value problems, and an introduction to partial differential equations. Intended for engineering majors and others who require a working knowledge of differential equations. Course Information: Credit is not given for both MATH 285 and any of MATH 284, MATH 286, MATH 441. Prerequisite: MATH 241.",3,3,MATH241 BIOE205,BIOE205, BIOE205 BIOE360,https://courses.illinois.edu/schedule/terms/MATH/285,
