course_id,name,credit_hours,description,prerequisite,link
ABE 152,Water in the Global Environment,3,"This course develops a comprehensive understanding and appreciation of water and its impact in a global context. The course emphasizes cultural practices associated with water and its use, especially for regions in non-western cultures. Students will develop critical knowledge of: 1) water availability, water quality, and global challenges; 2) historical perspectives of water use; 3) past, present, and future environmental sustainability in relation to water, food, and energy; and 4) conduct analysis of cultural practices and their sustainability based on water in a global context. Students attend 3-4 field trips related to the course. This course satisfies the General Education Criteria for: Cultural Studies - Non-West Nat Sci & Tech - Phys Sciences",,https://courses.illinois.edu/schedule/terms/ABE/152
ABE 199,Undergraduate Open Seminar,1 to 5,May be repeated to a maximum of 12 hours.,,https://courses.illinois.edu/schedule/terms/ABE/199
ABE 227,Computer-Aided Problem-Solving for ABE I,3,"Approaches to solving problems in the field of Agricultural and Biological Engineering (ABE) using computer aids. Case studies will consider traditional and new domains in ABE such as: off-highway vehicle engineering, natural resources and environmental systems, control of indoor air environments, bioprocessing of food and agricultural materials, digital and urban agriculture, renewable energy, and sustainability. Typical approaches to problem solving include spreadsheets, GUI based programming, scripting, geospatial platforms, solid modeling, visual programming, dynamic modeling, biological modeling. Prerequisite: One of MATH 220 , MATH 221 , MATH 234 .","Prerequisite: One of MATH 220 , MATH 221 , MATH 234 .",https://courses.illinois.edu/schedule/terms/ABE/227
ABE 228,Computer-Aided Problem-Solving for ABE II,3,"Case studies from traditional and new domains in ABE will be considered, such as: off-highway vehicles, natural resources and environmental systems, control of indoor air environments, bioprocessing of food and agricultural materials, digital and urban agriculture, renewable energy, sustainability, and synthetic biology. Typical approaches to problem solving include spreadsheets, GUI based programming, scripting, geospatial platforms, solid modeling, visual programming, dynamic modeling, biological modeling. ABE 228 considers complementary approaches and topics covered in ABE 227 . Prerequisite: One of MATH 220 , MATH 221 , MATH 234 .","Prerequisite: One of MATH 220 , MATH 221 , MATH 234 .",https://courses.illinois.edu/schedule/terms/ABE/228
ABE 232,Context in International Interventions,3,"This multi-disciplinary course will examine a new approach to infrastructure engineering for alternately developed societies that seeks to counteract the disconnects and differing objectives among project stakeholders that result in lack of infrastructure sustainability and resiliency. Using a case study from Western Africa, the course will consider the impact of globalization, the attitudes of industrialized societies, and the role of place-based knowledge in designing and implementing infrastructure interventions for rural societies. Same as AFST 233 . This course satisfies the General Education Criteria for: Cultural Studies - Non-West Social & Beh Sci - Soc Sci",,https://courses.illinois.edu/schedule/terms/ABE/232
ABE 340,Thermodynamics for Agricultural and Biological Engineering,3,"Fundamental concepts of thermodynamics will be presented and applied to the discipline of Agricultural and Biological Engineering. Topics include: forms of energy, first and second laws of thermodynamics, energy balances on closed and open systems, entropy, refrigeration and cooling. Thermodynamic principles will be applied to Agricultural and Biological Engineering systems: thermodynamics of flow processes, mass and energy balances for non-reacting systems, mechanical energy balances, thermodynamics of food drying, freezing and reaction kinetics of biological systems. Credit is not given toward graduation for ABE 340 and either ME 200 or CHBE 321 . Prerequisite: MATH 241 .",Prerequisite: MATH 241 .,https://courses.illinois.edu/schedule/terms/ABE/340
ABE 341,Transport Processes in ABE,3,"Principles of transport processes involving momentum, heat, and mass as applied to biological systems in agriculture, food, energy, and the environment. Credit is not given for both ABE 341 and CHBE 421 . Prerequisite: ABE 227 and ABE 228 .",Prerequisite: ABE 227 and ABE 228 .,https://courses.illinois.edu/schedule/terms/ABE/341
ABE 361,Functional Analysis and Design of Agricultural Machine Systems,3,"Design and development concepts of agricultural machines; analysis and synthesis of tillage, planting, harvesting, chemical application, material handling mechanisms, and precision farming tools. Prerequisite: TAM 212 .",Prerequisite: TAM 212 .,https://courses.illinois.edu/schedule/terms/ABE/361
ABE 397,Independent Study,1 to 4,"Individual research, special problems, thesis, development or design work under the supervision of a member of the faculty. May be repeated to a maximum of 8 hours. Prerequisite: Consent of instructor.",Prerequisite: Consent of instructor.,https://courses.illinois.edu/schedule/terms/ABE/397
ABE 398,Special Topics,1 to 3,Subject offerings of new and developing areas of knowledge in agricultural and biological engineering intended to augment the existing curriculum. See Class Schedule or departmental course information for topics and prerequisites. May be repeated in the same or separate term if topics vary to a maximum of 12 hours.,See Class Schedule or departmental course information for topics and prerequisites.,https://courses.illinois.edu/schedule/terms/ABE/398
ABE 412,Applied Data Science for Agricultural and Biological Engineering,3,"Use of data to study problems unique to agricultural and biological engineering, identify patterns, and make actionable insights. Course includes (1) exploratory data analysis including data profiling, missing data, description, and data visualization; (2) data processing techniques including singular value decomposition, dimensionality reduction, and Fourier and wavelet transforms; (3) machine learning techniques including regression, classification, feature selection, clustering, and neural networks. 3 undergraduate hours. 3 graduate hours. Prerequisite: CS101 or equivalent and MATH 257 .",Prerequisite: CS101 or equivalent and MATH 257 .,https://courses.illinois.edu/schedule/terms/ABE/412
ABE 425,Engrg Measurement Systems,4,"Principles of instrumentation systems, including sensing, signal conditioning, computerized data acquisition, test design, data analysis and synthesis. Additional fees may apply. See Class Schedule. 4 undergraduate hours. 4 graduate hours. Credit is not given for both ABE 425 and ME 360 . Prerequisite: ECE 205 .",Prerequisite: ECE 205 .,https://courses.illinois.edu/schedule/terms/ABE/425
ABE 426,Principles of Mobile Robotics,4,"Prepares students in design, navigation, control, and autonomy of aerial and ground robots that operate in harsh, uncertain, and changing field environments. Covers three primary aspects of field robotics: perception (sensing), motion control, and data analytics, and bring everything together through labs involving ground robots and flying unmanned aircraft (drones). Same as ECE 426 . 4 undergraduate hours. 4 graduate hours. Prerequisite: MATH 221 , MATH 257 , and MATH 285 , IE 300 or ECE 313 or STAT 400 , CS 101 or CS 124 or ECE 220 , or graduate standing.","Prerequisite: MATH 221 , MATH 257 , and MATH 285 , IE 300 or ECE 313 or STAT 400 , CS 101 or CS 124 or ECE 220 , or graduate standing.",https://courses.illinois.edu/schedule/terms/ABE/426
ABE 430,Project Management,2,"Engineering team effectiveness; project definition; assessing related technologies; marketing and business planning related to engineering; budgeting and financial analyses of engineering projects; safety, ethics and environmental considerations; intellectual property; engineering proposal presentation. Same as ETMA 430 . 2 undergraduate hours. 2 graduate hours.",,https://courses.illinois.edu/schedule/terms/ABE/430
ABE 445,Statistical Methods,4,Same as ANSC 445 and NRES 445 . See ANSC 445 .,,https://courses.illinois.edu/schedule/terms/ABE/445
ABE 454,Environmental Soil Physics,3,"Provides the theoretical basis for understanding and quantifying the physical, hydrological, geotechnical, and thermal properties of soil in relation to environmental processes. Topics include general soil properties as a porous media, particle size, soil structure and aggregation, water retention and potential, flow in saturated soil, flow in an unsaturated soil, soil temperature and heat flow, soil mechanics, infiltration, and soil-plant-water relations. 3 undergraduate hours. 3 graduate hours. Prerequisite: TAM 335 or NRES 201 or consent of instructor.",Prerequisite: TAM 335 or NRES 201 or consent of instructor.,https://courses.illinois.edu/schedule/terms/ABE/454
ABE 455,Erosion and Sediment Control,2,"Processes, estimation, and control of soil erosion by water, wind and resultant sedimentation. Upland, in-channel, urban, agricultural, disturbed (both military training and mining), and forested environments. Capstone experience in site planning and design. 2 undergraduate hours. 2 graduate hours. Prerequisite: CEE 350 or NRES 401 ; CEE 380 or NRES 201 .",Prerequisite: CEE 350 or NRES 401 ; CEE 380 or NRES 201 .,https://courses.illinois.edu/schedule/terms/ABE/455
ABE 457,NPS Pollution Processes,2,"Principles, concepts, and analysis of processes for nonpoint source pollution involving sediment, inorganic and organic chemicals, and microbial pathogens; hydrologic and pollutant interactions, pollutant fate and transport processes from storm water runoff and percolation; impact of pollutant transport on receiving water and ecosystems. 2 undergraduate hours. 2 graduate hours. Prerequisite: ABE 224 or CEE 350 .",Prerequisite: ABE 224 or CEE 350 .,https://courses.illinois.edu/schedule/terms/ABE/457
ABE 458,NPS Pollution Modeling,2,"Concepts, principles, and application of modeling for assessment and management of agricultural nonpoint source pollution. Modeling of agroecosystems and land use impacts on hydrologic and water quality response of upland catchments. Model selection, calibration, validation, and application for comparative analysis. Case studies in current watershed management issues, with a focus on agricultural waste and nutrient management, using existing field and watershed nonpoint source pollution models. 2 undergraduate hours. 2 graduate hours. Prerequisite: ABE 457 .",Prerequisite: ABE 457 .,https://courses.illinois.edu/schedule/terms/ABE/458
ABE 466,Engineering Off-Road Vehicles,3,Design and application of off-road vehicles for farm and construction use; thermodynamics of engines; measurement of power and efficiencies; power transmission and traction; chassis mechanics; operator environment. 3 undergraduate hours. 3 graduate hours. Credit is not given for both ABE 466 and ETMA 464 . Prerequisite: ABE 340 or ME 200 .,Prerequisite: ABE 340 or ME 200 .,https://courses.illinois.edu/schedule/terms/ABE/466
ABE 469,Capstone Design Experience,4,"Design projects which utilize principles of design, engineering analysis and functional operation of engineering systems. Projects originate from industry, nonprofit entities and federal agencies. Design teams develop concepts, evaluate alternatives, model and analyze solutions, and build and test a final product. Emphases on communication skills, technical writing, and interaction with industry representatives. 4 undergraduate hours. No graduate credit. Prerequisite: Current senior standing in an engineering major. Restricted to undergraduate students. This course satisfies the General Education Criteria for: Advanced Composition",Prerequisite: Current senior standing in an engineering major.,https://courses.illinois.edu/schedule/terms/ABE/469
ABE 476,Indoor Air Quality Engineering,4,"Principles and applications of indoor air quality. Particle mechanics, gas kinetics, air quality sampling principles and techniques, air cleaning technologies such as filters, cyclones, electrostatic precipitation for indoor environments; ventilation effectiveness for pollutant control. Research or design project. 4 undergraduate hours. 4 graduate hours. Prerequisite: PHYS 213 , MATH 285 , and TAM 335 .","Prerequisite: PHYS 213 , MATH 285 , and TAM 335 .",https://courses.illinois.edu/schedule/terms/ABE/476
ABE 482,Package Engineering,3,Same as FSHN 469 . See FSHN 469 .,,https://courses.illinois.edu/schedule/terms/ABE/482
ABE 483,Engineering Properties of Food Materials,3,"Physical properties of foods and biological materials; properties relating to equipment design and the sensing and control of food processes; thermal, electromagnetic radiation, rheological, and other mechanical properties. 3 undergraduate hours. 3 graduate hours. Prerequisite: Restricted to Grainger Engineering Seniors or Graduate students.",Prerequisite: Restricted to Grainger Engineering Seniors or Graduate students.,https://courses.illinois.edu/schedule/terms/ABE/483
ABE 488,Bioprocessing Biomass for Fuel,4,"Engineering and scientific principles governing bioprocessing of biomass for production of ethanol and other fermentation products. Process unit operations; conventional and alternative feed stock materials; recovery of value-added coproducts and other variables involved in producing fuel ethanol; process simulation; economic analysis. 4 undergraduate hours. 4 graduate hours. Prerequisite: ABE 340 or ME 200 or CHBE 321 . Restricted to Junior, Senior or Graduate student status.",Prerequisite: ABE 340 or ME 200 or CHBE 321 .,https://courses.illinois.edu/schedule/terms/ABE/488
ABE 497,Independent Study,1 to 4,"Individual research, special problems, thesis, development or design work under the supervision of a member of the faculty. 1 to 4 undergraduate hours. No graduate credit. May be repeated to a maximum of 8 hours. Prerequisite: Consent of instructor.",Prerequisite: Consent of instructor.,https://courses.illinois.edu/schedule/terms/ABE/497
ABE 498,Special Topics,1 to 4,Subject offerings of new and developing areas of knowledge in agricultural and biological engineering intended to augment the existing curriculum. See Class Schedule or departmental course information for topics and prerequisites. 1 to 4 undergraduate hours. 1 to 4 graduate hours. May be repeated in the same or separate terms if topics vary to a maximum of 16 hours.,See Class Schedule or departmental course information for topics and prerequisites.,https://courses.illinois.edu/schedule/terms/ABE/498
ABE 501,Graduate Seminar: Foundations of Success,1,"Basic research orientation, degree program requirements, literature review techniques, peer review of journal articles, presentation skills, safe laboratory practices, case studies, time management and productivity. Prerequisite: Restricted to ABE or ETMAS programs.",Prerequisite: Restricted to ABE or ETMAS programs.,https://courses.illinois.edu/schedule/terms/ABE/501
ABE 502,Graduate Seminar: Advanced Career Skills,1,"Introduction to managing time and stress, completing degree program requirements, research methods, data collection techniques, professional ethics, presentation and communication skills, and project management. Prerequisite: Restricted to ABE or ETMAS programs.",Prerequisite: Restricted to ABE or ETMAS programs.,https://courses.illinois.edu/schedule/terms/ABE/502
ABE 503,"Graduate Seminar: Integrity, Teaching and Research",1,"Introduction to teaching and pedagogy, strategies for engaging students, presentation techniques, feedback, research integrity and thesis preparation. Prerequisite: Restricted to ABE or ETMAS programs.",Prerequisite: Restricted to ABE or ETMAS programs.,https://courses.illinois.edu/schedule/terms/ABE/503
ABE 526,Autonomous Systems and Robots,4,"The objective of this course is to cover theory and techniques essential for building cyber-physical systems capable of autonomous decision making in the real-world. This course will lay a foundation for theory and techniques in autonomous planning, machine learning, and adaptive sequential decision making. Topics covered include Planning under uncertainty, Bayesian Nonparametric machine learning, Deep learning and Neural Networks, Markov Decision Processes, and Reinforcement Learning. A key emphasis of the course is placed on transition of fundamental aspects of autonomous decision making to application on robotics systems. Prerequisite: MATH 225 ; MATH 416 , or equivalent; STAT 400 , MATH 461 or equivalent. An introductory course in machine learning (e.g. CS 446 ), control (e.g. SE 422 ), robotics (e.g. ABE 424, ECE 470 ), OR Artificial Intelligence ( CS 440 ) is required. An introductory software programming course is recommended. Restricted to graduate students in Engineering.","Prerequisite: MATH 225 ; MATH 416 , or equivalent; STAT 400 , MATH 461 or equivalent.",https://courses.illinois.edu/schedule/terms/ABE/526
ABE 532,Advanced Contextual Design,4,"Contextual Engineering addresses the loss of infrastructure usability, sustainability, and resiliency in non-industrialized societal settings that often results from disconnects and differing objectives among stakeholders. Using case studies and technical infrastructure designs, the impacts of globalization, Western attitudes, power dynamics, and place-based knowledge are explored and applied to infrastructure design and implementation processes, particularly when serving rural societies. Application of these concepts will then be conducted for specific design efforts associated with the student's own engineering discipline.",,https://courses.illinois.edu/schedule/terms/ABE/532
ABE 597,Independent Study,1 to 4,Individual investigations or studies of any phases of agricultural engineering selected by the student and approved by the advisor and the faculty member who will supervise the study. May be repeated to a maximum of 16 hours. Prerequisite: Consent of instructor.,Prerequisite: Consent of instructor.,https://courses.illinois.edu/schedule/terms/ABE/597
ABE 598,Special Topics,1 to 4,Subject offerings of new and developing areas of knowledge in agricultural and biological engineering intended to augment the existing curriculum. See Class Schedule or departmental course information for topics and prerequisites. May be repeated in the same or separate terms if topics vary to a maximum of 8 hours.,See Class Schedule or departmental course information for topics and prerequisites.,https://courses.illinois.edu/schedule/terms/ABE/598
ABE 599,Thesis Research,0 to 16,Approved for S/U grading only. May be repeated in the same term or in separate terms.,,https://courses.illinois.edu/schedule/terms/ABE/599
ACCY 199,Undergraduate Open Seminar,1 to 5,May be repeated.,,https://courses.illinois.edu/schedule/terms/ACCY/199
ACCY 200,Fundamentals of Accounting,3,Survey course in the principles of accounting for students registered in schools and colleges other than the College of Business. Credit is not given for both ACCY 200 and either ACCY 201 or ACCY 202 . Prerequisite: Sophomore standing.,Prerequisite: Sophomore standing.,https://courses.illinois.edu/schedule/terms/ACCY/200
